Averages 
  
Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace

-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------

                            5   -0.3  0.478947         0.10043                0.445594   0.238462            0.380435

                            5   -0.2  0.678947         0.189369               0.403987   0.245547            0.267729

                            5   -0.1  0.8              0.426426               0.555867   0.383794            0.463811

                            5    0    0.763158         0.341801               0.496929   0.328358            0.393617

                            5    0.4  1                1                      1          1                   1

                            5    0.5  1                1                      1          1                   1

                            5    0.6  1                1                      1          1                   1

                            5    0.7  1                1                      1          1                   1

                            5    0.8  1                1                      1          1                   1

                            5    0.9  1                1                      1          1                   1

                            5    1    1                1                      1          1                   1

                           15   -0.2  0.738701         0.291225               0.463961   0.302271            0.30006

                           15   -0.1  0.762825         0.35549                0.51226    0.344394            0.368284

                           15    0    0.771751         0.393301               0.545843   0.374613            0.423853

                           15    0.5  1                1                      1          1                   1

                           15    0.6  1                1                      1          1                   1

                           15    0.7  1                1                      1          1                   1

                           15    0.8  0.999345         0.998191               0.998621   0.997333            0.998251

                           15    0.9  0.999345         0.998191               0.998621   0.997333            0.998251

                           15    1    0.99909          0.997487               0.998084   0.996296            0.99757

                           25   -0.2  0.782222         0.424071               0.569981   0.398102            0.449019

                           25   -0.1  0.76303          0.362042               0.519291   0.351361            0.370169

                           25    0.6  1                1                      1          1                   1

                           25    0.7  1                1                      1          1                   1

                           25    0.8  1                1                      1          1                   1

                           25    0.9  1                1                      1          1                   1

                           25    1    1                1                      1          1                   1

                           50   -0.3  0.646583         0.154676               0.400194   0.246336            0.194008

                           50    0.7  1                1                      1          1                   1

                           50    0.8  1                1                      1          1                   1

                           50    0.9  1                1                      1          1                   1

                           50    1    1                1                      1          1                   1

 
 Standard Deviations 
  
Number of sequences/cluster      Gap  Rand                   Adjusted Rand         Fowlkes and Mallows    Jaccard               Adjusted Wallace

-----------------------------  -----  ---------------------  --------------------  ---------------------  --------------------  --------------------

                            5   -0.3  0.0                    0.0                   0.0                    0.0                   0.0

                            5   -0.2  0.02977291710259141    0.013014876680104167  0.039032989438519704   0.022368549896257476  0.07594312295374521

                            5   -0.1  0.005263157894736803   0.005796549974342057  0.0031931463571664223  0.003098009835652645  0.011520579348946635

                            5    0    -                      -                     -                      -                     -

                            5    0.4  -                      -                     -                      -                     -

                            5    0.5  0.0                    0.0                   0.0                    0.0                   0.0

                            5    0.6  0.0                    0.0                   0.0                    0.0                   0.0

                            5    0.7  0.0                    0.0                   0.0                    0.0                   0.0

                            5    0.8  0.0                    0.0                   0.0                    0.0                   0.0

                            5    0.9  0.0                    0.0                   0.0                    0.0                   0.0

                            5    1    0.0                    0.0                   0.0                    0.0                   0.0

                           15   -0.2  0.026766188892372134   0.05772139697731576   0.0383896669631574     0.03281111983785756   0.04743074849995501

                           15   -0.1  0.00920054372240553    0.032180359196345217  0.027840173157875615   0.024808564367006368  0.045245853212821964

                           15    0    -                      -                     -                      -                     -

                           15    0.5  -                      -                     -                      -                     -

