Averages 
  
Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace

-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------

                            5   -0.3  0.535088      0.15738                   0.474621   0.264994           0.488257

                            5   -0.2  0.791228      0.438478                  0.579925   0.406361           0.551996

                            5   -0.1  0.808772      0.494833                  0.62445    0.450699           0.592423

                            5    0    0.784211      0.447126                  0.596956   0.414286           0.601145

                            5    0.1  1             1                         1          1                  1

                            5    0.2  0.995263      0.985879                  0.988896   0.98               0.987248

                            5    0.3  0.995694      0.987163                  0.989905   0.981818           0.988408

                            5    0.4  1             1                         1          1                  1

                            5    0.5  1             1                         1          1                  1

                            5    0.6  1             1                         1          1                  1

                            5    0.7  1             1                         1          1                  1

                            5    0.8  1             1                         1          1                  1

                            5    0.9  1             1                         1          1                  1

                            5    1    1             1                         1          1                  1

                           15   -0.2  0.736158      0.304726                  0.481572   0.316252           0.334071

                           15    0.2  1             1                         1          1                  1

                           15    0.3  1             1                         1          1                  1

                           15    0.4  1             1                         1          1                  1

                           15    0.5  1             1                         1          1                  1

                           15    0.6  1             1                         1          1                  1

                           25   -0.3  0.733333      0.32431                   0.506808   0.337051           0.375334

                           25   -0.2  0.749293      0.33848                   0.506626   0.338869           0.361982

                           25    0.3  0.99957       0.998829                  0.999113   0.998261           0.998852

                           25    0.4  0.999604      0.998922                  0.999184   0.9984             0.998944

                           25    0.5  1             1                         1          1                  1

                           50   -0.4  0.261608      0.000307692               0.488987   0.244524           0.0154607

                           50   -0.3  0.736533      0.310187                  0.48745    0.321909           0.328376

                           50   -0.2  0.770905      0.389665                  0.54248    0.372125           0.398357

                           50    0.3  0.999751      0.99933                   0.999495   0.999              0.999337

                           50    0.4  0.999801      0.999464                  0.999596   0.9992             0.999469

 
 Standard Deviations 
  
Number of sequences/cluster    Gap  Rand                   Adjusted Rand         Fowlkes and Mallows    Jaccard                Adjusted Wallace

-----------------------------  -----  ---------------------  --------------------  ---------------------  ---------------------  ---------------------

                            5   -0.3  0.048618970037021106   0.049319568225235165  0.02513817835243244    0.02297815452627607    0.09337710613530485

                            5   -0.2  0.03985198839158089    0.12674595345834974   0.10640310515118452    0.10297041165225626    0.204185631614791

                            5   -0.1  0.06848849577523906    0.13608858660850415   0.08467853435976656    0.09855117006623529    0.053174231402975114

                            5    0    -                      -                     -                      -                      -

                            5    0.1  -                      -                     -                      -                      -

                            5    0.2  0.01497920996921865    0.04465313624184913   0.035114994617347      0.06324555320336757    0.0403243460021471

                            5    0.3  0.01393791836060132    0.04154903821781233   0.032673948039668686   0.05884898863364996    0.03752116724964258

                            5    0.4  0.0                    0.0                   0.0                    0.0                    0.0

                            5    0.5  0.0                    0.0                   0.0                    0.0                    0.0

                            5    0.6  0.0                    0.0                   0.0                    0.0                    0.0

                            5    0.7  0.0                    0.0                   0.0                    0.0                    0.0

                            5    0.8  0.0                    0.0                   0.0                    0.0                    0.0

                            5    0.9  0.0                    0.0                   0.0                    0.0                    0.0

                            5    1    0.0                    0.0                   0.0                    0.0                    0.0
