Averages 
  Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------
                            5   -0.3  0.555833         0.13874                0.415732   0.216911            0.443183
                            5   -0.2  0.7125           0.315426               0.514876   0.31069             0.64127
                           25   -0.4  0.673591         0.326545               0.564132   0.343888            0.778386 
 Standard Deviations 
  Number of sequences/cluster    Gap        Rand    Adjusted Rand    Fowlkes and Mallows     Jaccard    Adjusted Wallace
-----------------------------  -----  ----------  ---------------  ---------------------  ----------  ------------------
                            5   -0.3  0.0395694         0.0316846             0.0155915   0.0148383            0.0428016
                            5   -0.2  0.00345033        0.0114664             0.0108697   0.00793197           0.0300505
                           25   -0.4  0.010741          0.0131434             0.00777596  0.0077597            0.0227253 
 Medians 
  Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------
                            5   -0.3  0.553333         0.12987                0.408099   0.211765            0.424869
                            5   -0.2  0.71             0.309504               0.509931   0.306762            0.629108
                           25   -0.4  0.672645         0.320351               0.562349   0.339494            0.79049
 
 
 Dataframe: 
          5    15    25    50
-1.0  0.00  0.0  0.00  0.00
-0.9  0.00  0.0  0.00  0.00
-0.8  0.00  0.0  0.00  0.00
-0.7  0.00  0.0  0.00  0.00
-0.6  0.00  0.0  0.00  0.00
-0.5  0.00  0.0  0.00  0.00
-0.4  0.04  0.0  0.32  0.00
-0.3  0.12  0.0  0.00  0.00
-0.2  0.12  0.4  0.68  0.12
-0.1  0.00  0.0  0.00  0.00
 0.0  0.00  0.0  0.00  0.00
 0.1  0.00  0.0  0.00  0.00
 0.2  0.00  0.0  0.00  0.00
 0.3  0.00  0.0  0.00  0.00
 0.4  0.00  0.0  0.00  0.00
 0.5  0.00  0.0  0.00  0.00
 0.6  0.00  0.0  0.00  0.00
 0.7  0.00  0.0  0.00  0.00
 0.8  0.00  0.0  0.00  0.00
 0.9  0.00  0.0  0.00  0.00
 1.0  0.00  0.0  0.00  0.00
