Averages 
  
Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace

-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------

                            5   -0.3  0.478947         0.10043                0.445594   0.238462            0.380435

                            5    0    0.836842         0.581973               0.699879   0.523077            0.782443

                            5    0.2  0.836842         0.581973               0.699879   0.523077            0.782443
 
 Standard Deviations 
  Number of sequences/cluster    Gap  Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  ------  ---------------  ---------------------  ---------  ------------------
                            5   -0.3  -       -                -                      -          -
                            5    0    0.0     0.0              0.0                    0.0        0.0
                            5    0.2  -       -                -                      -          - 
 Medians 
  Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------
                            5   -0.3  0.478947         0.10043                0.445594   0.238462            0.380435
                            5    0    0.836842         0.581973               0.699879   0.523077            0.782443
                            5    0.2  0.836842         0.581973               0.699879   0.523077            0.782443
 
 
 Dataframe: 
         5    15   25   50   100
-1.0  0.00  0.0  0.0  0.0  0.0
-0.9  0.00  0.0  0.0  0.0  0.0
-0.8  0.00  0.0  0.0  0.0  0.0
-0.7  0.00  0.0  0.0  0.0  0.0
-0.6  0.00  0.0  0.0  0.0  0.0
-0.5  0.00  0.0  0.0  0.0  0.0
-0.4  0.00  0.0  0.0  0.0  0.0
-0.3  0.04  0.0  0.0  0.0  0.0
-0.2  0.00  0.0  0.0  0.0  0.0
-0.1  0.00  0.0  0.0  0.0  0.0
 0.0  0.20  0.0  0.0  0.0  0.0
 0.1  0.00  0.0  0.0  0.0  0.0
 0.2  0.04  0.0  0.0  0.0  0.0
 0.3  0.00  0.0  0.0  0.0  0.0
 0.4  0.00  0.0  0.0  0.0  0.0
 0.5  0.00  0.0  0.0  0.0  0.0
 0.6  0.00  0.0  0.0  0.0  0.0
 0.7  0.00  0.0  0.0  0.0  0.0
 0.8  0.00  0.0  0.0  0.0  0.0
 0.9  0.00  0.0  0.0  0.0  0.0
 1.0  0.00  0.0  0.0  0.0  0.0
