Averages 
  Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------
                            5   -0.3  0.554444         0.133275               0.410949   0.213725            0.429293
                            5   -0.2  0.713333         0.317399               0.516524   0.312               0.645324 
 Standard Deviations 
  Number of sequences/cluster    Gap        Rand    Adjusted Rand    Fowlkes and Mallows     Jaccard    Adjusted Wallace
-----------------------------  -----  ----------  ---------------  ---------------------  ----------  ------------------
                            5   -0.3  0.0019245        0.00589825             0.00576567  0.00339618           0.0218693
                            5   -0.2  0.00356348       0.0123455              0.0117381   0.00855236           0.0324468 
 Medians 
  Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------
                            5   -0.3  0.553333         0.12987                0.40762    0.211765            0.416667
                            5   -0.2  0.713333         0.317399               0.516524   0.312               0.645324
 
 
 Dataframe: 
         5    15   25   50   100
-1.0  0.00  0.0  0.0  0.0  0.0
-0.9  0.00  0.0  0.0  0.0  0.0
-0.8  0.00  0.0  0.0  0.0  0.0
-0.7  0.00  0.0  0.0  0.0  0.0
-0.6  0.00  0.0  0.0  0.0  0.0
-0.5  0.00  0.0  0.0  0.0  0.0
-0.4  0.04  0.0  0.0  0.0  0.0
-0.3  0.20  0.0  0.0  0.0  0.0
-0.2  0.04  0.0  0.0  0.0  0.0
-0.1  0.00  0.0  0.0  0.0  0.0
 0.0  0.00  0.0  0.0  0.0  0.0
 0.1  0.00  0.0  0.0  0.0  0.0
 0.2  0.04  0.0  0.0  0.0  0.0
 0.3  0.00  0.0  0.0  0.0  0.0
 0.4  0.00  0.0  0.0  0.0  0.0
 0.5  0.00  0.0  0.0  0.0  0.0
 0.6  0.00  0.0  0.0  0.0  0.0
 0.7  0.00  0.0  0.0  0.0  0.0
 0.8  0.00  0.0  0.0  0.0  0.0
 0.9  0.04  0.0  0.0  0.0  0.0
 1.0  0.04  0.0  0.0  0.0  0.0
