Averages 
Number of sequences/cluster    Gap    Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  ------  ---------------  ---------------------  ---------  ------------------ 
 Standard Deviations 
Number of sequences/cluster    Gap    Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  ------  ---------------  ---------------------  ---------  ------------------ 
 Medians 
Number of sequences/cluster    Gap    Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
-----------------------------  -----  ------  ---------------  ---------------------  ---------  ------------------
 
 
 Dataframe: 
         5     15    25    50   100
-1.0  0.00  0.00  0.00  0.00  0.0
-0.9  0.00  0.00  0.00  0.00  0.0
-0.8  0.00  0.00  0.00  0.00  0.0
-0.7  0.00  0.00  0.00  0.00  0.0
-0.6  0.00  0.00  0.00  0.00  0.0
-0.5  0.00  0.00  0.00  0.00  0.0
-0.4  0.00  0.00  0.00  0.00  0.0
-0.3  0.04  0.00  0.08  0.04  0.0
-0.2  0.00  0.20  0.08  0.00  0.0
-0.1  0.12  0.00  0.00  0.00  0.0
 0.0  0.00  0.00  0.00  0.00  0.0
 0.1  0.00  0.00  0.00  0.00  0.0
 0.2  0.24  0.08  0.00  0.00  0.0
 0.3  0.84  0.92  0.96  0.72  0.0
 0.4  0.96  1.00  1.00  1.00  0.0
 0.5  1.00  0.72  0.40  0.00  0.0
 0.6  1.00  0.28  0.00  0.00  0.0
 0.7  0.92  0.08  0.00  0.00  0.0
 0.8  0.84  0.00  0.00  0.00  0.0
 0.9  0.60  0.00  0.00  0.00  0.0
 1.0  0.24  0.00  0.00  0.00  0.0
